Time,asks,bids,price
2017-12-05 18:16:00 UTC,4370803.68634997,3235782.73574105,11659.5
2017-12-05 18:17:00 UTC,4589700.05648953,3608212.77607468,11663.5
2017-12-05 18:18:00 UTC,4285332.84573044,3603694.85473223,11662.5
2017-12-05 18:19:00 UTC,4210373.97987965,3666400.89539168,11654.5
2017-12-05 18:20:00 UTC,4281639.30314752,4079548.36361986,11651.5
2017-12-05 18:21:00 UTC,4235872.65804528,3792682.44171532,11648.0
2017-12-05 18:22:00 UTC,4125783.18920394,4051051.84995229,11654.0
2017-12-05 18:23:00 UTC,4387462.15464957,3511981.68425981,11659.0
2017-12-05 18:24:00 UTC,4627740.14821722,4117476.48719791,11671.5
2017-12-05 18:25:00 UTC,4732580.87914648,3827360.0160807,11668.5
2017-12-05 18:26:00 UTC,4206383.31549213,4273021.17543976,11662.0
2017-12-05 18:27:00 UTC,4627784.70466242,4119592.74032938,11663.5
2017-12-05 18:28:00 UTC,4355320.65731164,4358986.62182852,11658.75
2017-12-05 18:29:00 UTC,4675056.34340387,4137953.66888337,11668.5
2017-12-05 18:30:00 UTC,4392122.89551004,4221006.744907,11658.5
2017-12-05 18:31:00 UTC,4255134.28575312,4092817.06145643,11662.0
2017-12-05 18:32:00 UTC,4545893.73470568,4349478.02175252,11658.5
2017-12-05 18:33:00 UTC,4455866.79390408,4400808.4811098,11656.0
2017-12-05 18:34:00 UTC,4546554.63164329,4466233.58757276,11657.5
2017-12-05 18:35:00 UTC,4243496.22411581,4597785.55962378,11656.5
2017-12-05 18:36:00 UTC,4220353.78379926,4634146.40337246,11658.5
2017-12-05 18:37:00 UTC,4143422.79314073,4396261.7950083,11659.5
2017-12-05 18:38:00 UTC,4172049.48293307,4946425.36098844,11656.0
2017-12-05 18:39:00 UTC,3948079.61586862,4723188.59319336,11637.5
2017-12-05 18:40:00 UTC,2873473.61157744,5286813.49079496,11629.5
2017-12-05 18:41:00 UTC,4355444.71741166,4717463.34073849,11655.75
2017-12-05 18:42:00 UTC,4370316.94281447,4401870.98619718,11664.5
2017-12-05 18:43:00 UTC,5070953.9715255,4332560.79336366,11674.5
2017-12-05 18:44:00 UTC,5111769.77896657,3832582.21481811,11680.0
2017-12-05 18:45:00 UTC,5117968.9785782,4191037.33100185,11679.5
2017-12-05 18:46:00 UTC,6286288.72039619,3927532.91952995,11683.0
2017-12-05 18:47:00 UTC,4990020.48584557,4176650.10480351,11680.5
2017-12-05 18:48:00 UTC,6217760.00910518,3784742.90288485,11687.75
2017-12-05 18:49:00 UTC,6208371.96840766,3688233.67689392,11686.5
2017-12-05 18:50:00 UTC,6253254.65130454,4029850.88176932,11684.5
2017-12-05 18:51:00 UTC,6273368.76082441,3901551.08707298,11686.5
2017-12-05 18:52:00 UTC,6093434.06539617,4026598.02983408,11685.5
2017-12-05 18:53:00 UTC,6116096.72423024,4072528.61843519,11685.5
2017-12-05 18:54:00 UTC,5626061.17058169,4141437.83122772,11683.0
2017-12-05 18:55:00 UTC,6330687.64622163,3947064.31194631,11684.5
2017-12-05 18:56:00 UTC,6174712.7281002,3399165.33907356,11687.5
2017-12-05 18:57:00 UTC,6501842.82240839,3967747.62474779,11684.5
2017-12-05 18:58:00 UTC,6416336.91011084,3982833.04410291,11684.5
2017-12-05 18:59:00 UTC,6037020.67297187,4320282.8837919,11683.5
2017-12-05 19:00:00 UTC,6076563.93115615,4043400.90855755,11689.5
2017-12-05 19:01:00 UTC,6158592.01762406,3996945.67700713,11689.5
2017-12-05 19:02:00 UTC,5938617.37285855,4116242.87459258,11688.5
2017-12-05 19:03:00 UTC,6424888.39036382,4087466.51491012,11700.0
2017-12-05 19:04:00 UTC,5829114.78191876,4025182.49165513,11712.0
2017-12-05 19:05:00 UTC,5899476.43777028,3937449.90805063,11714.0
2017-12-05 19:06:00 UTC,5784208.82383971,3829125.63901528,11712.0
2017-12-05 19:07:00 UTC,5178106.00709859,3421902.70142396,11715.5
2017-12-05 19:08:00 UTC,5774220.85517006,3322395.16927269,11715.5
2017-12-05 19:09:00 UTC,5427666.65899762,3304826.87492829,11717.5
2017-12-05 19:10:00 UTC,5415018.4736513,3188371.52718558,11712.5
2017-12-05 19:11:00 UTC,5364676.49490763,3183362.32609193,11715.0
2017-12-05 19:12:00 UTC,6168634.31351315,3791278.42543309,11721.75
2017-12-05 19:13:00 UTC,5821806.65891689,3883735.74497425,11712.5
2017-12-05 19:14:00 UTC,5756465.84183805,4450565.5544967,11709.5
2017-12-05 19:15:00 UTC,6241764.3162024,4290480.15882884,11713.0
2017-12-05 19:16:00 UTC,6051144.29238078,3926685.8929057,11723.5
